#RawFactor(z),ParFactor(c),dz/dc
IndexCurve/EUR-EURIBOR-3M/5,DiscountCurve/EUR/0,0.000000001150
IndexCurve/EUR-EURIBOR-3M/6,DiscountCurve/EUR/0,-0.000000000152
IndexCurve/EUR-EURIBOR-3M/7,DiscountCurve/EUR/0,-0.000000000186
IndexCurve/EUR-EURIBOR-3M/8,DiscountCurve/EUR/0,0.000000000534
IndexCurve/EUR-EURIBOR-3M/9,DiscountCurve/EUR/0,0.000000001920
IndexCurve/EUR-EURIBOR-3M/10,DiscountCurve/EUR/0,0.000000006430
IndexCurve/EUR-EURIBOR-3M/11,DiscountCurve/EUR/0,0.000000014124
IndexCurve/EUR-EURIBOR-3M/12,DiscountCurve/EUR/0,0.000000021912
IndexCurve/EUR-EURIBOR-3M/13,DiscountCurve/EUR/0,0.000000021902
IndexCurve/EUR-EURIBOR-3M/14,DiscountCurve/EUR/0,0.000000019836
IndexCurve/EUR-EURIBOR-3M/15,DiscountCurve/EUR/0,0.000000015601
IndexCurve/EUR-EURIBOR-6M/0,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EURIBOR-6M/1,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EURIBOR-6M/2,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EURIBOR-6M/3,DiscountCurve/EUR/0,0.000000000000
IndexCurve/EUR-EURIBOR-6M/4,DiscountCurve/EUR/0,0.000000000007
IndexCurve/EUR-EURIBOR-6M/5,DiscountCurve/EUR/0,-0.000000000108
IndexCurve/EUR-EURIBOR-6M/6,DiscountCurve/EUR/0,-0.000000000163
IndexCurve/EUR-EURIBOR-6M/7,DiscountCurve/EUR/0,0.000000000175
IndexCurve/EUR-EURIBOR-6M/8,DiscountCurve/EUR/0,0.000000001231
IndexCurve/EUR-EURIBOR-6M/9,DiscountCurve/EUR/0,0.000000002658
IndexCurve/EUR-EURIBOR-6M/10,DiscountCurve/EUR/0,0.000000007022
IndexCurve/EUR-EURIBOR-6M/11,DiscountCurve/EUR/0,0.000000013879
IndexCurve/EUR-EURIBOR-6M/12,DiscountCurve/EUR/0,0.000000019938
IndexCurve/EUR-EURIBOR-6M/13,DiscountCurve/EUR/0,0.000000020652
IndexCurve/EUR-EURIBOR-6M/14,DiscountCurve/EUR/0,0.000000017985
IndexCurve/EUR-EURIBOR-6M/15,DiscountCurve/EUR/0,0.000000013926
IndexCurve/USD-FedFunds/4,DiscountCurve/EUR/0,0.000000000000
